epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.847,1.17071,2.06169,1.17585,0.43166,0.73224,0.42118,0.27863,0.39616,7.46409,0.40907,0.00333084,0.00333084,0.00333084
2,748.787,1.245,1.36825,1.18556,0.39854,0.61009,0.36179,0.22776,0.48282,1.2098,0.46721,0.00653223,0.00653223,0.00653223
3,1013.24,1.36699,1.3466,1.27524,0.42849,0.61821,0.37501,0.2255,0.47983,9.89128,0.4909,0.00960161,0.00960161,0.00960161
4,1278.83,1.40586,1.31196,1.30946,0.44614,0.64844,0.40273,0.25756,0.44514,1.18763,0.46891,0.009406,0.009406,0.009406
5,1637.68,1.31532,1.16181,1.26655,0.42801,0.71591,0.41597,0.27336,0.43299,9.30325,0.45675,0.009208,0.009208,0.009208
6,1906.35,1.25952,1.09041,1.23467,0.43456,0.81534,0.43104,0.29663,0.38251,0.78814,0.42601,0.00901,0.00901,0.00901
7,2177.06,1.19865,0.98983,1.21152,0.42004,0.78125,0.41771,0.29376,0.37348,2.11887,0.42242,0.008812,0.008812,0.008812
8,2431.91,1.17832,0.97529,1.20449,0.43931,0.82137,0.43081,0.30469,0.36491,0.82178,0.41244,0.008614,0.008614,0.008614
9,2694.44,1.14845,0.92487,1.18899,0.43434,0.82741,0.44611,0.31448,0.37139,2.57586,0.41691,0.008416,0.008416,0.008416
10,2951.5,1.12332,0.89979,1.17752,0.43601,0.82528,0.43495,0.31059,0.35876,2.90876,0.41418,0.008218,0.008218,0.008218
11,3208.9,1.10506,0.87631,1.16575,0.42072,0.87997,0.43644,0.31884,0.34866,1.16457,0.40796,0.00802,0.00802,0.00802
12,3480.87,1.10391,0.86787,1.16481,0.43778,0.83239,0.43422,0.32272,0.33684,3.49252,0.39746,0.007822,0.007822,0.007822
13,3750.94,1.06683,0.84471,1.14144,0.44085,0.87145,0.44122,0.32704,0.33419,0.80637,0.40129,0.007624,0.007624,0.007624
14,4016.46,1.06107,0.82672,1.13826,0.44063,0.84255,0.44557,0.33192,0.32955,0.88249,0.39555,0.007426,0.007426,0.007426
15,4280.32,1.04662,0.79667,1.14162,0.43783,0.87358,0.44356,0.33289,0.33056,0.74149,0.39681,0.007228,0.007228,0.007228
16,4550.66,1.03409,0.79526,1.13296,0.4466,0.84829,0.44492,0.33739,0.32121,1.03039,0.38988,0.00703,0.00703,0.00703
17,4815.6,1.01877,0.77543,1.12677,0.44368,0.86435,0.44277,0.33786,0.31709,0.73505,0.38943,0.006832,0.006832,0.006832
18,5087.01,1.03156,0.7708,1.13075,0.44259,0.86293,0.44296,0.3367,0.31402,0.82359,0.38511,0.006634,0.006634,0.006634
19,5352.94,1.00694,0.74981,1.12511,0.4424,0.87287,0.44226,0.33893,0.3082,0.78449,0.38576,0.006436,0.006436,0.006436
20,5610.25,0.99186,0.74463,1.11263,0.44523,0.86932,0.44698,0.34347,0.30656,0.77173,0.38338,0.006238,0.006238,0.006238
21,5884.45,0.97085,0.72713,1.10266,0.4469,0.85908,0.44753,0.34772,0.30049,0.76607,0.37679,0.00604,0.00604,0.00604
22,6144.51,0.98275,0.72942,1.11085,0.44078,0.88778,0.44615,0.34601,0.29994,0.72561,0.37747,0.005842,0.005842,0.005842
23,6412.76,0.96245,0.70748,1.09531,0.44069,0.88352,0.45171,0.35298,0.29417,0.73635,0.37457,0.005644,0.005644,0.005644
24,6677.1,0.95822,0.70591,1.09318,0.4474,0.86719,0.45097,0.35409,0.28519,0.74213,0.3698,0.005446,0.005446,0.005446
25,6942.41,0.95218,0.70052,1.09648,0.44591,0.87216,0.44824,0.35217,0.29017,0.73387,0.37413,0.005248,0.005248,0.005248
26,7216.43,0.94302,0.68954,1.08972,0.44566,0.86861,0.44872,0.35433,0.28761,0.76476,0.3719,0.00505,0.00505,0.00505
27,7495.99,0.93624,0.68326,1.08672,0.44844,0.85751,0.45293,0.35922,0.28331,0.74665,0.36787,0.004852,0.004852,0.004852
28,7760.92,0.92708,0.67165,1.08227,0.45018,0.86009,0.45551,0.36067,0.28336,0.75093,0.37037,0.004654,0.004654,0.004654
29,8037.37,0.92068,0.66447,1.08055,0.44657,0.87713,0.45291,0.36105,0.27899,0.76126,0.36687,0.004456,0.004456,0.004456
30,8312.31,0.91246,0.66126,1.07321,0.44877,0.87216,0.45176,0.35977,0.2778,0.76233,0.36424,0.004258,0.004258,0.004258
31,8585.61,0.90416,0.6448,1.07455,0.44804,0.8679,0.45473,0.36326,0.27755,0.76434,0.36579,0.00406,0.00406,0.00406
32,8852.63,0.90142,0.64782,1.07196,0.45008,0.86861,0.45398,0.36298,0.2763,0.76333,0.36449,0.003862,0.003862,0.003862
33,9121.43,0.8869,0.6411,1.06567,0.44241,0.89318,0.45517,0.36437,0.27452,0.76286,0.36315,0.003664,0.003664,0.003664
34,9383.29,0.88462,0.62969,1.0629,0.44452,0.87926,0.45486,0.36567,0.27279,0.76551,0.3616,0.003466,0.003466,0.003466
35,9634.23,0.8709,0.6255,1.05627,0.43731,0.91406,0.45504,0.36567,0.27116,0.75832,0.36077,0.003268,0.003268,0.003268
36,9899.18,0.86497,0.60696,1.05323,0.44617,0.8821,0.45544,0.36697,0.2692,0.76409,0.3596,0.00307,0.00307,0.00307
37,10203.6,0.84834,0.60417,1.04378,0.44687,0.8821,0.4529,0.36585,0.26705,0.76045,0.35792,0.002872,0.002872,0.002872
38,10499.9,0.8394,0.59701,1.04074,0.44435,0.88636,0.45593,0.3681,0.26572,0.76575,0.35755,0.002674,0.002674,0.002674
39,10809.5,0.83949,0.59742,1.03659,0.44441,0.89134,0.4528,0.36519,0.26363,0.76783,0.35612,0.002476,0.002476,0.002476
40,11117.5,0.82556,0.58277,1.03489,0.44541,0.8892,0.4563,0.36785,0.26321,0.7707,0.35579,0.002278,0.002278,0.002278
41,11448.6,0.73984,0.47802,1.00076,0.44393,0.89418,0.45548,0.36841,0.26155,0.76723,0.35528,0.00208,0.00208,0.00208
42,11763,0.72242,0.46076,0.9877,0.44683,0.89205,0.45625,0.36998,0.25965,0.76443,0.35487,0.001882,0.001882,0.001882
43,12091,0.71186,0.44759,0.9877,0.44688,0.89418,0.45825,0.37212,0.25797,0.76162,0.35434,0.001684,0.001684,0.001684
44,12423.7,0.69714,0.43492,0.97462,0.44714,0.8956,0.45764,0.37258,0.25604,0.76154,0.35363,0.001486,0.001486,0.001486
45,12738.1,0.68532,0.42453,0.97177,0.44716,0.89329,0.45863,0.37374,0.25448,0.7638,0.3529,0.001288,0.001288,0.001288
46,13080,0.67009,0.41583,0.96418,0.44228,0.90846,0.4575,0.37344,0.25317,0.7649,0.35231,0.00109,0.00109,0.00109
47,13437.9,0.66109,0.40476,0.96137,0.44522,0.90696,0.45763,0.37453,0.25211,0.76662,0.35167,0.000892,0.000892,0.000892
48,13808.8,0.64447,0.39779,0.94759,0.44487,0.90951,0.45758,0.37474,0.25113,0.76759,0.35116,0.000694,0.000694,0.000694
49,14179.6,0.63956,0.39135,0.95106,0.44831,0.89844,0.45802,0.3754,0.25034,0.77017,0.35072,0.000496,0.000496,0.000496
50,14560.3,0.63071,0.37321,0.94904,0.44672,0.90554,0.45822,0.37646,0.24954,0.77306,0.35041,0.000298,0.000298,0.000298
